Date,Venue,Attendance,LCFC Goals,Opponent Goals,Opponent,Win,Draw,Loss
3/25/17,Slugger Field,6758,0,0,St. Louis FC,19,9,5
3/30/17,Orlando City Stadium,2741,3,1,Orlando City B,0,1,0
4/8/17,City Stadium,7603,1,0,Richmond Kickers,1,1,0
4/15/17,Slugger Field,9074,2,1,Tampa Bay Rowdies,2,1,0
4/22/17,Nippert Stadium,20437,1,1,FC Cincinnati,3,1,0
4/29/17,Slugger Field,8282,0,0,Toronto FC 2,3,2,0
5/13/17,Al Lang Stadium,5410,0,2,Tampa Bay Rowdies,3,3,0
5/20/17,Highmark Stadium,3253,1,0,Pittsburgh Riverhounds,3,3,1
6/3/17,MUSC Health Stadium,3710,4,4,Charleston Battery,4,3,1
6/7/17,Slugger Field,7403,1,0,Charlotte Independence,4,3,2
6/10/17,MSU Soccer Park,581,3,0,New York Red Bulls 2,5,3,2
6/17/17,Slugger Field,8741,3,0,Pittsburgh Riverhounds,6,3,2
6/24/17,FNB Field,2678,0,1,Harrisburg City Islanders,7,3,2
7/1/17,Slugger Field,7814,2,1,Ottawa Fury,7,3,3
7/8/17,MUSC Health Stadium,3701,1,1,Charleston Battery,8,3,3
7/15/17,Slugger Field,11632,2,3,FC Cincinnati,8,3,4
7/22/17,Toyota Stadium,4310,4,1,St. Louis FC,8,4,4
7/29/17,Slugger Field,10017,2,1,New York Red Bulls 2,9,4,4
8/5/17,Matthews Sportsplex,2648,1,3,Charlotte Independence,10,4,4
8/12/17,Slugger Field,13812,5,0,FC Cincinnati,10,4,5
8/20/17,Goodman Stadium,3147,3,1,Bethlehem Steel FC,11,4,5
8/23/17,Slugger Field,6763,5,0,Harrisburg City Islanders,12,4,5
8/26/17,Slugger Field,8251,0,3,Orlando City B,13,4,5
9/2/17,Slugger Field,7612,1,0,Charleston Battery,13,4,6
9/9/17,Highmark Stadium,1936,3,0,Pittsburgh Riverhounds,14,4,6
9/15/17,Slugger Field,8303,2,2,Bethlehem Steel FC,15,4,6
9/20/17,Slugger Field,6698,2,1,Rochester Rhinos,15,5,6
9/24/17,TD Place Stadium,6015,1,1,Ottawa Fury,16,5,6
9/27/17,Ontario Soccer Centre,726,0,1,Toronto FC 2,16,6,6
9/30/17,Capelli Sport Stadium,1775,0,0,Rochester Rhinos,16,6,7
10/7/17,Slugger Field,7357,2,1,Charlotte Independence,16,7,7
10/14/17,Slugger Field,9104,3,1,Richmond Kickers,17,7,7
10/20/17,Slugger Field,6378,4,0,Bethlehem Steel FC,18,7,7
10/28/17,Slugger Field,7117,1,0,Rochester Rhinos,19,7,7
11/4/17,Slugger Field,10047,1,1,New York Red Bulls 2,20,7,7
11/13/17,Slugger Field,14456,1,0,Swope Park Rangers,21,7,7
3/17/18,Slugger Field,7933,2,0,Nashville SC,22,7,7
3/31/18,Slugger Field,6336,1,0,Tampa Bay Rowdies,1,0,0
4/7/18,Nippert Stadium,25667,1,0,FC Cincinnati,2,0,0
4/14/18,Slugger Field,6009,2,1,Richmond Kickers,3,0,0
4/21/18,Coolray Field,4135,1,1,Atlanta United 2,4,0,0
4/28/18,Slugger Field,7876,3,1,Bethlehem Steel FC,4,1,0
5/5/18,Lucas Oil Stadium,9008,0,1,Indy Eleven,5,1,0
5/13/18,First Tennessee Park,8610,0,2,Nashville SC,5,1,1
5/19/18,Slugger Field,8683,2,1,Atlanta United 2,5,1,2
5/26/18,Nippert Stadium,26495,0,2,FC Cincinnati,6,1,2
6/9/18,Goodman Stadium,3342,0,0,Bethlehem Steel FC,7,1,2
6/16/18,Slugger Field,7978,3,3,Penn FC,7,2,2
